bedrooms,bathrooms,property_type,purchase_type,price,new_sub_county,total_rooms
4,2,House,Sale,16400000,Langata & Kibra,8
4,4,House,Sale,59000000,Langata & Kibra,10
4,2,House,Sale,13000000,Embakasi Areas,8
5,5,House,Sale,55000000,Dagoretti North,12
4,4,House,Sale,17000000,Embakasi Areas,10
4,4,House,Sale,115000000,Westlands & Starehe,10
4,4,House,Sale,160000000,Westlands & Starehe,10
4,5,House,Sale,22500000,Westlands & Starehe,11
3,3,House,Sale,10000000,Embakasi Areas,8
3,3,House,Sale,8000000,Embakasi Areas,8
5,5,House,Sale,150000000,Westlands & Starehe,12
4,4,House,Sale,78000000,Langata & Kibra,10
5,5,House,Sale,60000000,Dagoretti North,12
4,5,House,Sale,62000000,Dagoretti North,11
3,3,House,Sale,7500000,Langata & Kibra,8
4,4,House,Sale,19500000,Embakasi Areas,10
3,4,House,Sale,7500000,Langata & Kibra,9
3,4,House,Sale,8500000,Embakasi Areas,9
4,4,House,Sale,29500000,Embakasi Areas,10
5,4,House,Sale,120000000,Westlands & Starehe,11
3,2,House,Sale,6500000,Embakasi Areas,7
4,4,House,Sale,14800000,Embakasi Areas,10
5,5,House,Sale,95000000,Dagoretti North,12
4,5,House,Sale,22500000,Westlands & Starehe,11
5,5,House,Sale,78000000,Westlands & Starehe,12
4,4,House,Sale,15000000,Embakasi Areas,10
3,3,House,Sale,8500000,Embakasi Areas,8
5,5,House,Sale,135000000,Westlands & Starehe,12
4,4,House,Sale,14800000,Embakasi Areas,10
5,5,House,Sale,135000000,Westlands & Starehe,12
4,5,House,Sale,39990000,Dagoretti North,11
3,4,House,Sale,7300000,Embakasi Areas,9
4,3,House,Sale,11000000,Embakasi Areas,9
3,4,House,Sale,9800000,Embakasi Areas,9
3,4,House,Sale,6500000,Embakasi Areas,9
3,3,House,Sale,6500000,Embakasi Areas,8
3,4,House,Sale,5500000,Embakasi Areas,9
3,2,House,Sale,18500000,Westlands & Starehe,7
5,5,House,Sale,80000000,Dagoretti North,12
3,4,House,Sale,14000000,Embakasi Areas,9
5,5,House,Sale,155000000,Westlands & Starehe,12
5,5,House,Sale,210000000,Westlands & Starehe,12
4,4,House,Sale,11500000,Embakasi Areas,10
4,4,House,Sale,78000000,Dagoretti North,10
5,5,House,Sale,90000000,Dagoretti North,12
3,2,House,Sale,45000000,Dagoretti North,7
5,5,House,Sale,56000000,Dagoretti North,12
5,5,House,Sale,120000000,Dagoretti North,12
5,5,House,Sale,95000000,Dagoretti North,12
4,4,House,Sale,78000000,Westlands & Starehe,10
4,4,House,Sale,63000000,Westlands & Starehe,10
5,5,House,Sale,48000000,Dagoretti North,12
4,4,House,Sale,38000000,Dagoretti North,10
4,5,House,Sale,96000000,Langata & Kibra,11
5,5,House,Sale,75000000,Westlands & Starehe,12
5,5,House,Sale,90000000,Westlands & Starehe,12
5,5,House,Sale,55000000,Dagoretti North,12
3,3,House,Sale,6500000,Embakasi Areas,8
3,3,House,Sale,6200000,Embakasi Areas,8
3,3,House,Sale,10500000,Embakasi Areas,8
4,5,House,Sale,28000000,Westlands & Starehe,11
4,4,House,Sale,40000000,Westlands & Starehe,10
4,4,House,Sale,32000000,Westlands & Starehe,10
4,4,House,Sale,39000000,Westlands & Starehe,10
5,4,House,Sale,17000000,Embakasi Areas,11
5,5,House,Sale,65000000,Westlands & Starehe,12
